song,singer,tempo,energy,sad_weight,happy_weight,energetic_weight,romantic_weight,relaxing_weight,major_feeling,second_major_feeling,similarity
No Promises,Shayne Ward,84,0.65,0.2,0.0,0.0,0.9,0.3,romantic,relaxing,-0.44027925136331014
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,90,0.6,0.0,0.5,0.0,1.0,0.6,romantic,relaxing,-0.4412409423146308
Night Changes,One Direction,90,0.5,0.0,0.1,0.0,1.0,0.3,romantic,relaxing,-0.44223773094627516
Perfect,Ed Sheeran,95,0.5,0.0,0.0,0.0,1.0,0.3,romantic,relaxing,-0.4424999552025783
A Thousand Years,Christina Perri,85,0.4,0.0,0.0,0.0,0.8,0.3,romantic,relaxing,-0.44299962120687997
Dangerously,Charlie Puth,85,0.4,0.4,0.0,0.35,0.8,0.6,romantic,relaxing,-0.44299962120687997
Love The Way You Lie,Eminem,85,0.38,0.5,0.0,0.35,0.7,0.7,romantic,relaxing,-0.4432105508063691
In the End,Linkin Park,82,0.36,0.7,0.0,0.0,0.8,1.0,relaxing,romantic,-0.4432825700314206
The Lazy Song,Bruno Mars,82,0.36,0.7,0.0,0.0,0.3,0.7,sad,relaxing,-0.4432825700314206
Love Yourself,Justin Bieber,82,0.36,0.7,0.0,0.0,0.8,1.0,relaxing,romantic,-0.4432825700314206
